City_pair,From_location,To_Location,Product_type,Adults_traveling,Seniors_traveling,Children_traveling,Youth_traveling,Infant traveling,Date_of_travel,Time_of_travel,Date_of_Return,Time_of_Return,Price_of_booking,Airline_code,Airline,Hotel
ZIH-ZIH,ZIH,ZIH,4,2,0,0,0,0,00:00.0,00:00.0,0,0,2003.199951,nan,nan,Viceroy Zihuatanejo
ZIH-ZIH,ZIH,ZIH,4,2,0,0,0,0,00:00.0,00:00.0,0,0,1556.76,nan,nan,Capella Ixtapa Resort & Spa
YYZ-YYZ,YYZ,YYZ,4,1,2,0,0,0,00:00.0,00:00.0,0,0,268.02,nan,nan,Hilton Hotel and Suites Niagara Falls/Fallsview
YYZ-YYZ,YYZ,YYZ,4,1,2,0,0,0,00:00.0,00:00.0,0,0,674.36,nan,nan,Hilton Hotel and Suites Niagara Falls/Fallsview
YYZ-YYZ,YYZ,YYZ,2,0,1,0,0,0,00:00.0,00:00.0,0,254.19,0,nan,nan,nan
YYZ-YYZ,YYZ,YYZ,4,1,0,0,0,0,00:00.0,00:00.0,0,0,916.46,nan,nan,Hilton Suites Conference Centre and Spa
YYC-YYC,YYC,YYC,4,1,0,0,0,0,00:00.0,00:00.0,0,0,903.36,nan,nan,Delta Bow Valley
YYC-YYC,YYC,YYC,4,2,0,0,0,2,00:00.0,00:00.0,0,0,1107.14,nan,nan,The Rimrock Resort Hotel
YVR-YYZ,YVR,YYZ,7,1,1,0,0,0,00:00.0,00:00.0,4351.4,176.85,238.14,AC,Air Canada,Comfort Hotel Airport North
YVR-YYZ,YVR,YYZ,7,1,1,0,0,0,00:00.0,00:00.0,4351.4,176.85,281.4354,AC,Air Canada,Novotel Toronto Mississauga Centre
YVR-YVR,YVR,YVR,2,1,0,0,0,0,00:00.0,00:00.0,0,74.97,0,nan,nan,nan
YVR-YVR,YVR,YVR,4,1,0,0,0,0,00:00.0,00:00.0,0,0,1201.24,nan,nan,Hyatt Regency Vancouver
YVR-YVR,YVR,YVR,6,1,1,0,0,1,00:00.0,00:00.0,0,104.84,254.37,nan,nan,Ramada Pitt Meadows
YVR-SSA,YVR,SSA,1,1,1,0,0,0,00:00.0,1753-01-01 00:00:00.000,2490,0,0,JJ,TAM Airlines,nan
YVR-SFO,YVR,SFO,1,2,0,0,0,0,00:00.0,00:00.0,567.32,0,0,DL,Delta Airlines,nan
YVR-SFO,YVR,SFO,1,1,0,0,0,0,00:00.0,1753-01-01 00:00:00.000,167.75,0,0,AC,Air Canada,nan
YVR-LAX,YVR,LAX,1,1,0,0,0,0,00:00.0,1753-01-01 00:00:00.000,146.43,0,0,AS,Alaska Airlines,nan
YVR-HKG,YVR,HKG,1,0,2,0,0,0,00:00.0,1753-01-01 00:00:00.000,1538.8,0,0,CA,Air China Limited,nan
